Target Author,Citing Paper,Number of Authors,Overcite Count
22954842600,2-s2.0-84904385024,4,3
22954842600,2-s2.0-84904397710,3,3
22954842600,2-s2.0-84908110338,2,3
22954842600,2-s2.0-84910149653,5,3
22954842600,2-s2.0-84912570760,3,3
22954842600,2-s2.0-84915747356,4,3
22954842600,2-s2.0-84919386565,5,3
22954842600,2-s2.0-84919915026,5,3
22954842600,2-s2.0-84921412383,6,3
22954842600,2-s2.0-84921450770,3,3
22954842600,2-s2.0-84921524498,5,3
22954842600,2-s2.0-84922496360,5,3
22954842600,2-s2.0-84923013048,4,3
22954842600,2-s2.0-84924666994,6,3
22954842600,2-s2.0-84924674678,3,3
22954842600,2-s2.0-84925130442,1,3
22954842600,2-s2.0-84926321248,4,3
22954842600,2-s2.0-84927604062,2,3
22954842600,2-s2.0-84927805084,3,3
22954842600,2-s2.0-84928327657,3,3
22954842600,2-s2.0-84928651614,5,3
22954842600,2-s2.0-84928956436,4,3
22954842600,2-s2.0-84929682974,2,3
22954842600,2-s2.0-84930204142,5,3
22954842600,2-s2.0-84930867812,4,3
22954842600,2-s2.0-84936767763,4,3
22954842600,2-s2.0-84936796839,4,3
22954842600,2-s2.0-84938779562,6,3
22954842600,2-s2.0-84938807826,3,3
22954842600,2-s2.0-84938848384,4,3
22954842600,2-s2.0-84939856835,7,3
22954842600,2-s2.0-84939959382,2,3
22954842600,2-s2.0-84940981257,3,3
22954842600,2-s2.0-84941039823,3,3
22954842600,2-s2.0-84942104063,5,3
22954842600,2-s2.0-84943234448,1,3
22954842600,2-s2.0-84945935753,5,3
22954842600,2-s2.0-84947574261,4,3
22954842600,2-s2.0-84949255807,4,3
22954842600,2-s2.0-84949526447,4,3
22954842600,2-s2.0-84952047995,3,3
22954842600,2-s2.0-84953635829,2,3
22954842600,2-s2.0-84954166307,2,3
22954842600,2-s2.0-84955448218,5,3
22954842600,2-s2.0-84957018354,4,3
22954842600,2-s2.0-84957539314,3,3
22954842600,2-s2.0-84959018726,3,3
22954842600,2-s2.0-84960971825,4,3
22954842600,2-s2.0-84962157635,2,3
22954842600,2-s2.0-84964515038,2,3
22954842600,2-s2.0-84966666570,5,3
22954842600,2-s2.0-84969872630,6,3
22954842600,2-s2.0-84969924808,6,3
22954842600,2-s2.0-84974622378,9,3
22954842600,2-s2.0-84975291123,6,3
22954842600,2-s2.0-84976271948,3,3
22954842600,2-s2.0-84978238271,5,3
22954842600,2-s2.0-84978275729,2,3
22954842600,2-s2.0-84979289578,5,3
22954842600,2-s2.0-84983089478,4,3
22954842600,2-s2.0-84984820232,5,3
22954842600,2-s2.0-84986327414,4,3
22954842600,2-s2.0-84988693223,3,3
22954842600,2-s2.0-84989827240,4,3
22954842600,2-s2.0-84989923170,4,3
22954842600,2-s2.0-84990067637,4,3
22954842600,2-s2.0-84991094147,6,3
22954842600,2-s2.0-84991594440,2,3
22954842600,2-s2.0-84992448554,2,3
22954842600,2-s2.0-84992491196,5,3
22954842600,2-s2.0-84994805499,6,3
22954842600,2-s2.0-85007003899,3,3
22954842600,2-s2.0-85007387458,5,3
22954842600,2-s2.0-85007447768,3,3
22954842600,2-s2.0-85007586443,4,3
22954842600,2-s2.0-85008256420,2,3
22954842600,2-s2.0-85009114669,3,3
22954842600,2-s2.0-85009264118,5,3
22954842600,2-s2.0-85009959911,4,3
22954842600,2-s2.0-85010369356,2,3
22954842600,2-s2.0-0242696084,2,2
22954842600,2-s2.0-0442311194,1,2
22954842600,2-s2.0-33646492472,2,2
22954842600,2-s2.0-33746814813,3,2
22954842600,2-s2.0-33746924070,2,2
22954842600,2-s2.0-41649096296,4,2
22954842600,2-s2.0-46449120756,3,2
22954842600,2-s2.0-63749098265,2,2
22954842600,2-s2.0-77954781064,2,2
22954842600,2-s2.0-77955066216,2,2
22954842600,2-s2.0-79956279973,6,2
22954842600,2-s2.0-80052042967,3,2
22954842600,2-s2.0-80052425981,4,2
22954842600,2-s2.0-80053239726,4,2
22954842600,2-s2.0-82155195851,2,2
22954842600,2-s2.0-84855461114,4,2
22954842600,2-s2.0-84856222316,3,2
22954842600,2-s2.0-84864540763,3,2
22954842600,2-s2.0-84866365258,6,2
22954842600,2-s2.0-84868340169,2,2
22954842600,2-s2.0-84871967365,4,2
22954842600,2-s2.0-84872862995,3,2
22954842600,2-s2.0-84874959345,7,2
22954842600,2-s2.0-84877280016,3,2
22954842600,2-s2.0-84877671097,5,2
22954842600,2-s2.0-84879601971,1,2
22954842600,2-s2.0-84881036787,4,2
22954842600,2-s2.0-84881144842,6,2
22954842600,2-s2.0-84881160058,6,2
22954842600,2-s2.0-84881587788,2,2
22954842600,2-s2.0-84883462421,6,2
22954842600,2-s2.0-84883741036,4,2
22954842600,2-s2.0-84883761197,5,2
22954842600,2-s2.0-84885651108,3,2
22954842600,2-s2.0-84890111621,2,2
22954842600,2-s2.0-84892614267,6,2
22954842600,2-s2.0-84892954157,3,2
22954842600,2-s2.0-84893768583,5,2
22954842600,2-s2.0-84896138130,4,2
22954842600,2-s2.0-84897043038,6,2
22954842600,2-s2.0-84898936346,6,2
22954842600,2-s2.0-84898941480,2,2
22954842600,2-s2.0-84899551185,5,2
22954842600,2-s2.0-84900375881,2,2
22954842600,2-s2.0-84900627916,2,2
22954842600,2-s2.0-84901603709,3,2
22954842600,2-s2.0-84903197155,8,2
22954842600,2-s2.0-84904136525,4,2
22954842600,2-s2.0-84905251822,2,2
22954842600,2-s2.0-84905814825,14,2
22954842600,2-s2.0-84907510399,5,2
22954842600,2-s2.0-84907966781,5,2
22954842600,2-s2.0-84908454656,5,2
22954842600,2-s2.0-84910637800,5,2
22954842600,2-s2.0-84911869265,3,2
22954842600,2-s2.0-84912574310,4,2
22954842600,2-s2.0-84914121953,4,2
22954842600,2-s2.0-84918542426,2,2
22954842600,2-s2.0-84919472833,6,2
22954842600,2-s2.0-84920076941,3,2
22954842600,2-s2.0-84920841072,5,2
22954842600,2-s2.0-84921417386,3,2
22954842600,2-s2.0-84921646335,2,2
22954842600,2-s2.0-84921755129,2,2
22954842600,2-s2.0-84922619016,5,2
22954842600,2-s2.0-84923299396,5,2
22954842600,2-s2.0-84924785597,4,2
22954842600,2-s2.0-84925258315,4,2
22954842600,2-s2.0-84925268950,2,2
22954842600,2-s2.0-84926643388,5,2
22954842600,2-s2.0-84927721035,1,2
22954842600,2-s2.0-84927770130,6,2
22954842600,2-s2.0-84927805985,2,2
22954842600,2-s2.0-84928670842,5,2
22954842600,2-s2.0-84928677432,2,2
22954842600,2-s2.0-84929223152,2,2
22954842600,2-s2.0-84929310441,4,2
22954842600,2-s2.0-84929346531,4,2
22954842600,2-s2.0-84929378509,4,2
22954842600,2-s2.0-84929466619,3,2
22954842600,2-s2.0-84930075010,7,2
22954842600,2-s2.0-84930086068,2,2
22954842600,2-s2.0-84930216224,2,2
22954842600,2-s2.0-84930503225,8,2
22954842600,2-s2.0-84930505552,3,2
22954842600,2-s2.0-84930934483,6,2
22954842600,2-s2.0-84931268530,7,2
22954842600,2-s2.0-84932606768,3,2
22954842600,2-s2.0-84933524659,4,2
22954842600,2-s2.0-84934783299,4,2
22954842600,2-s2.0-84937060814,2,2
22954842600,2-s2.0-84937149210,4,2
22954842600,2-s2.0-84937774318,3,2
22954842600,2-s2.0-84937784733,5,2
22954842600,2-s2.0-84937955877,3,2
22954842600,2-s2.0-84938082230,3,2
22954842600,2-s2.0-84938102289,3,2
22954842600,2-s2.0-84938348479,2,2
22954842600,2-s2.0-84938765913,3,2
22954842600,2-s2.0-84938903315,3,2
22954842600,2-s2.0-84939171277,3,2
22954842600,2-s2.0-84939243775,3,2
22954842600,2-s2.0-84939430498,2,2
22954842600,2-s2.0-84940062495,4,2
22954842600,2-s2.0-84940209835,5,2
22954842600,2-s2.0-84941025368,3,2
22954842600,2-s2.0-84941123409,3,2
22954842600,2-s2.0-84941334513,5,2
22954842600,2-s2.0-84941641513,2,2
22954842600,2-s2.0-84941671076,6,2
22954842600,2-s2.0-84942373240,2,2
22954842600,2-s2.0-84942410013,6,2
22954842600,2-s2.0-84942576106,3,2
22954842600,2-s2.0-84942881336,2,2
22954842600,2-s2.0-84943529658,4,2
22954842600,2-s2.0-84943545346,5,2
22954842600,2-s2.0-84943556058,4,2
22954842600,2-s2.0-84944088804,7,2
22954842600,2-s2.0-84944193150,7,2
22954842600,2-s2.0-84944710671,5,2
22954842600,2-s2.0-84944893591,4,2
22954842600,2-s2.0-84945329971,2,2
22954842600,2-s2.0-84945905817,3,2
22954842600,2-s2.0-84946111289,3,2
22954842600,2-s2.0-84946600751,3,2
22954842600,2-s2.0-84946910847,2,2
22954842600,2-s2.0-84947051758,6,2
22954842600,2-s2.0-84947052719,4,2
22954842600,2-s2.0-84947077114,2,2
22954842600,2-s2.0-84947717858,4,2
22954842600,2-s2.0-84947798002,1,2
22954842600,2-s2.0-84948437290,2,2
22954842600,2-s2.0-84948441901,6,2
22954842600,2-s2.0-84948807582,2,2
22954842600,2-s2.0-84949309231,3,2
22954842600,2-s2.0-84949642984,10,2
22954842600,2-s2.0-84949658100,3,2
22954842600,2-s2.0-84949683030,3,2
22954842600,2-s2.0-84951934646,2,2
22954842600,2-s2.0-84953231078,3,2
22954842600,2-s2.0-84953392935,5,2
22954842600,2-s2.0-84953836796,5,2
22954842600,2-s2.0-84953855243,5,2
22954842600,2-s2.0-84954123634,2,2
22954842600,2-s2.0-84954324646,6,2
22954842600,2-s2.0-84954368936,6,2
22954842600,2-s2.0-84954531565,2,2
22954842600,2-s2.0-84955325150,1,2
